threshold,accuracy,precision_obstacle,recall_obstacle,f1_obstacle,precision_non_obstacle,recall_non_obstacle,f1_non_obstacle,false_positive_rate_non_obstacle,false_negative_rate_obstacle,fp_obstacle,fn_obstacle,tp_obstacle,tn_non_obstacle,positive_rate_pred
0.4,0.7692272383007046,0.15928935765539898,0.8479061205706396,0.26819505094614265,0.9896731658542682,0.7650973476979565,0.8630146317539032,0.23490265230204357,0.15209387942936034,19449,661,3685,63347,0.26547473669052124
0.42500000000000004,0.7894700603612494,0.16940587512987626,0.825356649792913,0.2811128526645768,0.9884944215377153,0.7875863568288323,0.8766771530746685,0.21241364317116768,0.174643350207087,17587,759,3587,65209,0.24298271536827087
0.45000000000000007,0.8106883018521494,0.18285744114422928,0.806028531983433,0.2980896055822661,0.9876002059277782,0.8109328953089521,0.8905896631538456,0.18906710469104787,0.19397146801656695,15654,843,3503,67142,0.21983659267425537
0.4750000000000001,0.8309425994354043,0.19769472581208522,0.781408191440405,0.3155547296041628,0.9864215882453833,0.8335426832214117,0.9035611416601204,0.16645731677858833,0.21859180855959504,13782,950,3396,69014,0.19712652266025543
0.5000000000000001,0.8521034633127539,0.2178996036988111,0.7590888173032674,0.33860207328338293,0.9854587372572984,0.8569858447267984,0.916743110376103,0.1430141552732016,0.24091118269673262,11841,1047,3299,70955,0.17373941838741302
0.5250000000000001,0.8708200408528608,0.24036366368622736,0.7360791532443627,0.3623902577173605,0.9844649411509758,0.8778926518189285,0.9281295290144226,0.12210734818107155,0.2639208467556374,10110,1147,3199,72686,0.15272773802280426
0.5500000000000002,0.8874939753505772,0.2653482373172829,0.7100782328578003,0.38632949424136204,0.9833139103718614,0.8968066090149283,0.9380700912145943,0.10319339098507174,0.28992176714219975,8544,1260,3086,74252,0.13346032798290253
0.5750000000000002,0.9025842877143054,0.2958509904405243,0.6907501150483203,0.4142689574277238,0.982544321059809,0.9137035605584811,0.9468743546257299,0.08629643944151891,0.3092498849516797,7145,1344,3002,75651,0.11644212901592255
0.6000000000000002,0.9138302999701636,0.322203485103991,0.6594569719282098,0.4328978173853938,0.981085536825693,0.9271824725832166,0.953372701700788,0.07281752741678342,0.34054302807179015,6029,1480,2866,76767,0.1020747721195221
0.6250000000000002,0.9259025498611462,0.3616100694899698,0.6346065347445927,0.4607032489768646,0.980028925359995,0.9411928112469201,0.9602183462611898,0.05880718875307986,0.3653934652554073,4869,1588,2758,77927,0.08752381056547165
0.6500000000000002,0.9354387092332056,0.40234971010070186,0.606764841233318,0.48385321100917433,0.9787933687397627,0.9526909512536837,0.965565783675268,0.047309048746316244,0.393235158766682,3917,1709,2637,78879,0.0752105787396431
0.6750000000000003,0.9432076381079159,0.44634276561665776,0.5770823745973309,0.5033617661816358,0.9774542153748021,0.962425721049326,0.9698817543923709,0.037574278950673945,0.42291762540266914,3111,1838,2508,79685,0.06448096036911011
0.7000000000000003,0.9504601684606734,0.5030328383183434,0.553382420616659,0.5270077791169059,0.9764330204829956,0.9713029614957245,0.9738612350672391,0.02869703850427557,0.446617579383341,2376,1941,2405,80420,0.05486447364091873
0.7250000000000003,0.9547405384315255,0.5482245681381958,0.5257708237459733,0.5367629786234436,0.9751608937739533,0.9772573554277985,0.9762079990348073,0.022742644572201556,0.4742291762540267,1883,2061,2285,80913,0.04782997816801071
0.7500000000000003,0.9585159854031351,0.6006055601431324,0.5020708697653015,0.5469357062288508,0.9740866253936702,0.9824749987922122,0.9782628303418418,0.017525001207787817,0.4979291302346986,1451,2164,2182,81345,0.04169057309627533
0.7750000000000004,0.9614422436942003,0.657911595131326,0.47261849976990333,0.5500803427959293,0.9727207807664842,0.987100826126866,0.979858047189718,0.012899173873133968,0.5273815002300967,1068,2292,2054,81728,0.035826582461595535
0.8000000000000004,0.9633930825549104,0.7196048632218845,0.4358030372756558,0.5428489538549728,0.9709856821677908,0.9910865259191265,0.9809331404731451,0.008913474080873472,0.5641969627243443,738,2452,1894,82058,0.030203575268387794
0.8250000000000004,0.9643340754171352,0.7829067641681902,0.3941555453290382,0.5243342516069789,0.9690067565976882,0.9942630078747765,0.9814724292101341,0.005736992125223441,0.6058444546709618,475,2633,1713,82321,0.025108443573117256
0.8500000000000004,0.9644258795988158,0.8363930885529157,0.3564196962724344,0.4998386576314941,0.9672060030484231,0.9963404029180154,0.9815570600763895,0.003659597081984637,0.6435803037275656,303,2797,1549,82493,0.021252667531371117
0.8750000000000004,0.9631979986688394,0.8819584171696848,0.30257708237459735,0.45057392496145277,0.9646122053449464,0.9978742934441277,0.9809613706388359,0.0021257065558722642,0.6974229176254026,176,3031,1315,82620,0.017110005021095276
0.9000000000000005,0.9621766771476441,0.9317434210526315,0.2606994937873907,0.40740740740740744,0.9626073598212416,0.9989975361128557,0.9804649067697159,0.0010024638871443065,0.7393005062126093,83,3213,1133,82713,0.01395423524081707
