epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss
1,0.049127370176733146,0.9854012347443682,0.03363084342432098,0.990472146911587,0.03363084342432098
2,0.02566581336742326,0.9917582641295378,0.02575640101570555,0.9923954239904144,0.02575640101570555
3,0.021825570237048557,0.9929716514941268,0.026597607984103395,0.9923091129253359,0.02575640101570555
4,0.0197490064573064,0.9936139209316135,0.027853393735019716,0.9925323476101989,0.02575640101570555
5,0.018482069026474153,0.9940162272801013,0.0239780266664865,0.9928418933601405,0.0239780266664865
6,0.01757650213948376,0.9942904955616069,0.022971300792743263,0.992871086808623,0.022971300792743263
7,0.016818525284506218,0.9945122665030643,0.023380273730325096,0.9925996194697454,0.022971300792743263
8,0.01629939217847323,0.9946583234590399,0.022674749568661348,0.9933070846153065,0.022674749568661348
9,0.015851071413040457,0.994811137498388,0.02312057353880805,0.9929429598095064,0.022674749568661348
10,0.015410478303027721,0.9949526897321151,0.023638642965664036,0.9927955646266793,0.022674749568661348
